outer_fold,inner_fold,analysis_variant,information_protocol,approximation,rho_prior,hu_tau,model,alpha,training_block_hash,grammar_fit_hash,validation_scoreable_roots,pooled_root_balanced_mean_log_density,selected_alpha
0,2,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.1,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,22bd001f12f3589b08bd44194816ae582ce649a59a1c9c04ba0ddb99a80f9b22,138,-0.39653455699352536,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,current_only,0.0,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,ac08fd5210c632342e25bdca0042838aec90992f89eca48905cba6a354c0f063,139,-0.5731793352194734,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,current_only,0.0001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,341475a1e46761aacb27e6a2484c2afffa667b6a40e35d1677e1272765181823,139,-0.5729380068148618,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,current_only,0.001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,3e8a01107bf83b962004f1a8557f56c90ad2f00d33d02f8edd6db89a2db2ca5a,139,-0.570862847003659,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,current_only,0.01,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,e2d2fe1dd21a287cd1a95aeb311e417303fafdfa923ed9eb3b162ab0f0360296,139,-0.5568870150675062,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,current_only,0.1,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,db99edfebd8ad76492c9cef7582bd14dd9073f3b3ae3ff652335e59238d5c0e0,139,-0.5578798093722469,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,current_only,0.0,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,704d93826e0fbbd3c9b483a5939c87a6dbc4e65d8ed5cc53767f4fcde9cbb371,136,-0.5731793352194734,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,current_only,0.0001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,2dbe49695658ba56d316145c28b46828d252da39591bbb68a6f42b8055a02dac,136,-0.5729380068148618,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,current_only,0.001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,6ce76aa3a32240b811d0c82ad1479f33465fb4cbb50b6142020c09545d862ec7,136,-0.570862847003659,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,current_only,0.01,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,1074777c78d204d5903796d639110ffac80e57b72eafdef91fbd0cd03b098f78,136,-0.5568870150675062,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,current_only,0.1,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,2beaf7c37bbf4b93acb5ae434bddf88d2a82498ca56ffb4ce8b16e7db24f51e3,136,-0.5578798093722469,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,current_only,0.0,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,6931b29db9d5ebb60d0b169b81937333fe15fe93f69aa8325469c1f39238faf0,138,-0.5731793352194734,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,current_only,0.0001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,bac7c1f9f759f55c4dad13daa2b468a2d4712da6c6a0ad99f1cb7289ad09242b,138,-0.5729380068148618,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,current_only,0.001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,de4498b304e4b9cfe8ae91ec931d75525e4e03bfc26c4d25e7712add1a943806,138,-0.570862847003659,0.01
