speaker_split	tracker_id	start_offset_ms	end_offset_ms	paired_speaker_support	support_defined_n_ge_35	f1_20_positive_speakers	f1_20_zero_speakers	dress_minus_fleece_f1_20_median_hz	f2_20_positive_speakers	f2_20_zero_speakers	fleece_minus_dress_f2_20_median_hz	f1_30_positive_speakers	f1_30_zero_speakers	dress_minus_fleece_f1_30_median_hz	f2_30_positive_speakers	f2_30_zero_speakers	fleece_minus_dress_f2_30_median_hz	f1_40_positive_speakers	f1_40_zero_speakers	dress_minus_fleece_f1_40_median_hz	f2_40_positive_speakers	f2_40_zero_speakers	fleece_minus_dress_f2_40_median_hz	f1_50_positive_speakers	f1_50_zero_speakers	dress_minus_fleece_f1_50_median_hz	f2_50_positive_speakers	f2_50_zero_speakers	fleece_minus_dress_f2_50_median_hz	f1_60_positive_speakers	f1_60_zero_speakers	dress_minus_fleece_f1_60_median_hz	f2_60_positive_speakers	f2_60_zero_speakers	fleece_minus_dress_f2_60_median_hz	f1_70_positive_speakers	f1_70_zero_speakers	dress_minus_fleece_f1_70_median_hz	f2_70_positive_speakers	f2_70_zero_speakers	fleece_minus_dress_f2_70_median_hz	f1_80_positive_speakers	f1_80_zero_speakers	dress_minus_fleece_f1_80_median_hz	f2_80_positive_speakers	f2_80_zero_speakers	fleece_minus_dress_f2_80_median_hz	q_order_result
DEVELOPMENT_EVEN	T4500_W025	20	-20	46	DEFINED	46	0	238.174978859343	41	0	456.376566152839	46	0	246.173595079431	41	0	437.476355053372	46	0	254.015412693626	39	0	458.755308734899	46	0	254.602597626020	44	0	486.881232790892	46	0	249.538332573789	43	0	470.015844947954	46	0	252.933371499032	43	0	496.264687542568	46	0	239.887172249945	43	0	504.237882685740	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	20	-10	48	DEFINED	48	0	234.357329336647	43	0	480.619810806285	48	0	255.134264197910	43	0	477.163839762939	48	0	254.190365642379	45	0	505.678234721340	48	0	255.195347297472	45	0	516.586267165471	48	0	248.536158586454	45	0	510.924489890806	48	0	238.922147908453	43	0	520.792320119853	48	0	225.230677948755	45	0	473.085543725125	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	20	0	45	DEFINED	45	0	249.262584005988	42	0	484.109262349253	45	0	251.193189396791	41	0	508.022839641481	45	0	249.705052101313	43	0	515.086923608667	45	0	248.370511538632	42	0	535.357744938113	45	0	243.205261639358	43	0	513.008352396415	45	0	220.608736181662	43	0	465.548506495318	45	0	214.452955644742	43	0	445.516048841165	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	20	10	41	DEFINED	41	0	238.493121618943	38	0	511.444978635793	41	0	242.841189433681	38	0	551.436444067930	41	0	247.756412482016	39	0	569.334764308163	41	0	240.872743395183	39	0	546.851697770515	41	0	230.194082925458	40	0	529.690596705946	41	0	222.702249464764	38	0	451.415808374972	41	0	202.781312205071	38	0	382.317871901849	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	20	20	41	DEFINED	41	0	250.143267832117	37	0	475.342564971137	41	0	246.241506917668	39	0	490.550412250669	41	0	248.254980314267	39	0	557.861399006838	41	0	239.288802279491	38	0	539.793807290301	41	0	228.225915163122	39	0	440.795403830348	41	0	217.078317636650	35	0	394.090433331831	40	0	196.763443348126	33	0	243.290514536305	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-20	-20	47	DEFINED	47	0	153.017184434883	46	0	368.632322176675	47	0	190.683621883602	47	0	479.244103575591	47	0	220.149315693868	46	0	527.937524630369	47	0	247.187588186481	47	0	556.061016928365	47	0	261.943569603073	47	0	584.331917123049	47	0	268.307754563175	46	0	586.459551735952	47	0	257.628138673343	46	0	603.476192201176	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-20	-10	47	DEFINED	47	0	157.493837010238	47	0	391.474115651877	47	0	194.977358212029	46	0	520.372572418082	47	0	229.792846556393	47	0	543.802830646442	47	0	255.173421446512	47	0	566.922646081488	47	0	270.516635663875	46	0	596.989584000372	47	0	264.513623724755	46	0	587.999313791746	47	0	257.785020838376	46	0	577.978652418699	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-20	0	47	DEFINED	47	0	165.356041837344	47	0	447.915553992578	47	0	203.181431431802	46	0	517.471201233993	47	0	243.718744464260	47	0	562.978111387146	47	0	265.380001928350	47	0	570.806824786598	47	0	277.196826724873	46	0	591.851850561679	47	0	256.250083644128	46	0	598.291463039183	47	0	244.133194597641	46	0	539.179864775524	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-20	10	47	DEFINED	47	0	175.463043770240	47	0	488.660580746986	47	0	217.889616903675	46	0	566.273834880041	47	0	255.074333878829	47	0	589.108693793032	47	0	270.521811034781	46	0	631.965922647448	47	0	264.720991119018	46	0	607.723996761086	47	0	253.339765946239	47	0	603.655108533037	47	0	241.859103501419	45	0	518.994626438430	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-20	20	47	DEFINED	47	0	179.881467439020	47	0	503.555193830844	47	0	230.146657865633	46	0	567.753695647599	47	0	266.348277337781	47	0	602.278010363089	47	0	276.862996381054	46	0	626.316491763227	47	0	260.681978039893	46	0	612.087032233077	47	0	245.568848159297	47	0	563.804346827018	47	0	217.495679522334	46	0	429.580995729924	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-10	-20	47	DEFINED	47	0	171.822803471712	47	0	456.013375311463	47	0	206.062261428096	46	0	533.566332176777	47	0	239.553421743239	47	0	544.669768154915	47	0	260.833497517210	47	0	566.922646081488	47	0	269.095227334340	46	0	592.533318033033	47	0	270.811070022704	46	0	588.315371468941	47	0	254.706408057283	46	0	589.233064010701	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-10	-10	47	DEFINED	47	0	181.103849637628	47	0	497.687039261423	47	0	221.971147130978	46	0	507.822645182759	47	0	249.661341455252	47	0	541.598239145899	47	0	265.380001928350	47	0	570.806824786598	47	0	275.812831583316	46	0	590.720904193368	47	0	260.111298745758	46	0	593.358416258081	47	0	258.472592593487	46	0	569.418629066394	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-10	0	47	DEFINED	47	0	188.157606021606	47	0	522.800037938985	47	0	233.263836293763	47	0	522.633597322221	47	0	262.154285683331	47	0	557.188730075585	47	0	270.899566394305	46	0	589.720338091896	47	0	272.026433629413	46	0	594.154072268259	47	0	257.905186439059	46	0	565.471084744485	47	0	245.498283546413	47	0	509.357335803380	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	-10	10	46	DEFINED	46	0	201.026923509395	45	0	551.264110187881	46	0	242.931525792616	46	0	614.013157806835	46	0	264.582299887247	46	0	596.456823202012	46	0	274.040216235934	45	0	623.878731690099	46	0	264.520560096709	45	0	611.872886057459	46	0	247.500043242198	46	0	595.350060658487	46	0	240.771932331768	44	0	524.585251593918	DEFINED_ALL_14_POSITIVE
