setting	analysis_variant	information_protocol	approximation	model	regularization_view	roots	incidences	root_balanced_joint	incidence_weighted_joint	root_balanced_raising	root_balanced_harmony_old_vs_opposite
uniform50	all_strict	side_informed	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3301650060231755	-0.0934241361888078	-0.11342002879544598	-0.22498510864785845
uniform50	all_strict	side_informed	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3516881419769225	-0.1023734309329062	-0.1207967434994462	-0.24132377991637916
uniform50	all_strict	side_informed	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3516881398827823	-0.10237343028487604	-0.12079674577553118	-0.2413237770289874
uniform50	all_strict	wholly_unseen	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5808614585150873	-0.6624091441573022	-0.3865467613601418	-0.203804024317437
uniform50	all_strict	wholly_unseen	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6027209277200467	-0.6739695516236323	-0.4072149283454528	-0.2100938791130033
uniform50	all_strict	wholly_unseen	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5755434245078442	-0.6635040623463007	-0.3882502033914799	-0.1981525019661274
uniform50	all_strict	wholly_unseen	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5948747975968387	-0.674118396477826	-0.4074746174248477	-0.20155557760832
uniform50	all_strict	wholly_unseen	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.8595301440084168	-0.9102999807291144	-0.4012142630427357	-0.4315029693084874
uniform50	all_strict	wholly_unseen	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.613738127684253	-0.6638758529580451	-0.3969931504565234	-0.23490647003152926
uniform50	all_strict	wholly_unseen	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6538233109300761	-0.6849505021283747	-0.4229319124525998	-0.25407200930727836
uniform50	all_strict	wholly_unseen	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6538233138326848	-0.6849505053915025	-0.4229319197254338	-0.25407200774978783
uniform50	unrounded_strict	side_informed	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3206814298136884	-0.14557962469576213	-0.11953227543998488	-0.20570334258164102
uniform50	unrounded_strict	side_informed	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.33400771240040666	-0.15707000268676016	-0.1265820708546589	-0.2139886405645975
uniform50	unrounded_strict	side_informed	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.333849516697388	-0.15104020326685344	-0.11907489440822161	-0.21900108781413205
uniform50	unrounded_strict	side_informed	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3369940281005086	-0.15997537880795837	-0.1259278111986658	-0.21671732685183223
uniform50	unrounded_strict	side_informed	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6033794806630256	-0.4759010419054663	-0.11442573597690339	-0.478044018178139
uniform50	unrounded_strict	side_informed	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3441009120625221	-0.15136756440642496	-0.12499706605305753	-0.22822264707785378
uniform50	unrounded_strict	side_informed	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3676256429520778	-0.16534400247950104	-0.13329134386532615	-0.2452372010440086
uniform50	unrounded_strict	side_informed	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.36762564294188893	-0.16534400244855696	-0.13329134390594882	-0.24523720101725005
uniform50	unrounded_strict	wholly_unseen	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6058677879240332	-0.49911508510305264	-0.4029546759471857	-0.21455944855942413
uniform50	unrounded_strict	wholly_unseen	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6282931855415236	-0.5116100726597734	-0.4197546393292311	-0.2220260159703
uniform50	unrounded_strict	wholly_unseen	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6170602119790257	-0.5026758926156504	-0.401746646633748	-0.226298944873871
uniform50	unrounded_strict	wholly_unseen	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6302890190069111	-0.5141695763117569	-0.4191316567595613	-0.22354911814915923
uniform50	unrounded_strict	wholly_unseen	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.8885141018577121	-0.8681219790959878	-0.39956035717158994	-0.46044346190827057
uniform50	unrounded_strict	wholly_unseen	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6330755682336145	-0.5060431568921095	-0.41397172222415	-0.2387508416574121
uniform50	unrounded_strict	wholly_unseen	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6680246609818913	-0.5252665904071613	-0.4336903618951396	-0.2546434175482302
uniform50	unrounded_strict	wholly_unseen	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6680246609768292	-0.5252665903894227	-0.4336903619408892	-0.25464341752795583
half20	all_agreeing_offsets	side_informed	gh80	HU_plus_surface	selected	515	58577	-0.27813839159046677	-0.10253806764340827	-0.10717573412156772	-0.17464450083702582
half20	all_agreeing_offsets	side_informed	gh80	retention_bounded_plus_HU	selected	515	58577	-0.2876596665646194	-0.09175857994143911	-0.10378807622762919	-0.1871511865389901
