"speaker_split"	"tracker_id"	"start_offset_ms"	"end_offset_ms"	"paired_speaker_support"	"f1_20_positive_speakers"	"f1_20_zero_speakers"	"dress_minus_fleece_f1_20_median_hz"	"f2_20_positive_speakers"	"f2_20_zero_speakers"	"fleece_minus_dress_f2_20_median_hz"	"f1_30_positive_speakers"	"f1_30_zero_speakers"	"dress_minus_fleece_f1_30_median_hz"	"f2_30_positive_speakers"	"f2_30_zero_speakers"	"fleece_minus_dress_f2_30_median_hz"	"f1_40_positive_speakers"	"f1_40_zero_speakers"	"dress_minus_fleece_f1_40_median_hz"	"f2_40_positive_speakers"	"f2_40_zero_speakers"	"fleece_minus_dress_f2_40_median_hz"	"f1_50_positive_speakers"	"f1_50_zero_speakers"	"dress_minus_fleece_f1_50_median_hz"	"f2_50_positive_speakers"	"f2_50_zero_speakers"	"fleece_minus_dress_f2_50_median_hz"	"f1_60_positive_speakers"	"f1_60_zero_speakers"	"dress_minus_fleece_f1_60_median_hz"	"f2_60_positive_speakers"	"f2_60_zero_speakers"	"fleece_minus_dress_f2_60_median_hz"	"f1_70_positive_speakers"	"f1_70_zero_speakers"	"dress_minus_fleece_f1_70_median_hz"	"f2_70_positive_speakers"	"f2_70_zero_speakers"	"fleece_minus_dress_f2_70_median_hz"	"f1_80_positive_speakers"	"f1_80_zero_speakers"	"dress_minus_fleece_f1_80_median_hz"	"f2_80_positive_speakers"	"f2_80_zero_speakers"	"fleece_minus_dress_f2_80_median_hz"
"DEVELOPMENT_EVEN"	"T5000_W030"	10	-20	49	49	0	"235 843024566041/1000000000000"	49	0	"505 74826365529/1000000000000"	49	0	"257 772364918557/1000000000000"	49	0	"512 910783869657/1000000000000"	49	0	"263 3969150359/62500000000"	48	0	"535 5104378247/40000000000"	49	0	"270 804564623897/1000000000000"	48	0	"545 68175347189/100000000000"	49	0	"270 61713102909/62500000000"	48	0	"561 30394826657/100000000000"	49	0	"264 68117643209/200000000000"	48	0	"566 410591467869/1000000000000"	49	0	"255 5224520559/500000000000"	48	0	"556 270286556743/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	10	-10	49	49	0	"243 201885384349/500000000000"	49	0	"515 104297197463/1000000000000"	49	0	"253 275058165359/1000000000000"	49	0	"515 196810663531/200000000000"	49	0	"262 69981589967/100000000000"	48	0	"550 5942558763/15625000000"	49	0	"270 952051088293/1000000000000"	48	0	"570 19292424313/40000000000"	49	0	"266 297499193243/1000000000000"	48	0	"562 9419034669/20000000000"	49	0	"257 750602779041/1000000000000"	48	0	"553 346869968203/1000000000000"	49	0	"244 604090090807/1000000000000"	48	0	"515 544933505539/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	10	0	49	49	0	"240 26995972259/1000000000000"	49	0	"520 739475690813/1000000000000"	49	0	"261 1771941317/1000000000000"	49	0	"539 635819326271/1000000000000"	49	0	"270 6091527067/31250000000"	48	0	"562 556477025951/1000000000000"	49	0	"271 359769709759/1000000000000"	48	0	"567 95122605783/125000000000"	49	0	"266 895590231789/1000000000000"	48	0	"557 91002937589/500000000000"	49	0	"246 6522581573/20000000000"	48	0	"525 478580608003/500000000000"	49	0	"238 434073457027/500000000000"	49	0	"461 961751805599/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	10	10	49	49	0	"250 27139190543/125000000000"	48	0	"560 221414065311/1000000000000"	49	0	"264 188160964629/1000000000000"	48	0	"580 421800286427/500000000000"	49	0	"270 396269195207/500000000000"	49	0	"598 41405185909/100000000000"	49	0	"268 91106168863/250000000000"	48	0	"581 808687676091/1000000000000"	49	0	"255 36766252963/200000000000"	49	0	"580 463649675109/1000000000000"	49	0	"241 619548114713/1000000000000"	49	0	"529 189364119529/200000000000"	49	0	"228 347884210473/500000000000"	48	0	"456 5866856779/40000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	10	20	49	49	0	"253 11431919261/40000000000"	49	0	"571 289877169917/1000000000000"	49	0	"266 859260163661/1000000000000"	48	0	"577 761424613837/1000000000000"	49	0	"265 41862346183/100000000000"	48	0	"600 683630399853/1000000000000"	49	0	"264 39982515667/50000000000"	48	0	"581 15534508899/15625000000"	49	0	"244 236259855649/250000000000"	48	0	"551 117135174669/500000000000"	49	0	"238 87638438321/250000000000"	47	0	"489 139161441387/1000000000000"	47	0	"202 280593355339/500000000000"	44	0	"352 6167391813/6250000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	20	-20	48	48	0	"252 739234001/1250000000"	47	0	"510 138275602873/1000000000000"	48	0	"263 20577817729/31250000000"	48	0	"520 62199309061/1000000000000"	48	0	"272 768550928599/1000000000000"	47	0	"542 190812524167/1000000000000"	48	0	"273 131403410303/500000000000"	47	0	"559 34391718539/40000000000"	48	0	"276 1855906379/12500000000"	47	0	"558 938392194293/1000000000000"	48	0	"269 37446572847/100000000000"	47	0	"553 18106503763/100000000000"	48	0	"266 7188094541/100000000000"	47	0	"521 115915532721/200000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	20	-10	49	49	0	"253 50806231847/1000000000000"	47	0	"518 57327062603/1000000000000"	49	0	"264 21351968253/200000000000"	47	0	"546 489980185057/500000000000"	49	0	"271 96290901567/125000000000"	49	0	"564 548901684103/1000000000000"	49	0	"271 359769709759/1000000000000"	48	0	"572 631755640179/1000000000000"	49	0	"273 282518644289/500000000000"	48	0	"554 6620606733/10000000000"	49	0	"260 44301838807/200000000000"	48	0	"546 69990363291/500000000000"	49	0	"238 333769704457/1000000000000"	48	0	"499 33548852587/100000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	20	0	49	49	0	"258 71463021631/100000000000"	49	0	"530 768629005659/1000000000000"	49	0	"269 248990331181/1000000000000"	48	0	"552 138012093307/1000000000000"	49	0	"268 844625524787/1000000000000"	48	0	"580 25259935023/1000000000000"	49	0	"275 79760228361/125000000000"	48	0	"551 4285199363/1000000000000"	49	0	"257 821402495127/1000000000000"	48	0	"550 226268539947/1000000000000"	49	0	"248 7583536791/31250000000"	48	0	"503 475701192841/500000000000"	49	0	"228 210906616391/1000000000000"	47	0	"449 427448094129/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	20	10	48	48	0	"263 196235922297/250000000000"	47	0	"565 53065018131/200000000000"	48	0	"268 143208068183/500000000000"	48	0	"590 43686105029/250000000000"	48	0	"265 46959765003/1000000000000"	47	0	"595 211791549/1953125000"	48	0	"263 111410514217/200000000000"	47	0	"579 754504614897/1000000000000"	48	0	"247 47500899501/62500000000"	48	0	"554 228842508959/250000000000"	48	0	"241 188120480429/200000000000"	46	0	"483 364557275149/1000000000000"	48	0	"225 265710815847/1000000000000"	46	0	"418 70138998841/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	20	20	49	49	0	"269 882453162163/1000000000000"	48	0	"574 398170144781/1000000000000"	49	0	"268 70227446767/200000000000"	49	0	"595 324886470589/500000000000"	49	0	"267 18722868471/500000000000"	48	0	"591 46096947251/125000000000"	49	0	"259 704342658049/1000000000000"	48	0	"601 185063112349/500000000000"	49	0	"244 470305665927/1000000000000"	49	0	"539 817327528419/1000000000000"	49	0	"226 363753404101/1000000000000"	48	0	"442 496775008969/500000000000"	46	0	"198 541811005457/1000000000000"	44	0	"305 545156513327/1000000000000"
