outer_fold,inner_fold,analysis_variant,information_protocol,approximation,rho_prior,hu_tau,model,alpha,training_block_hash,grammar_fit_hash,validation_scoreable_roots,pooled_root_balanced_mean_log_density,selected_alpha
0,0,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.1,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,de180b33b0f12e684e574654103714ffff1a81722e5cb4ae961493179dbeaf74,139,-0.353275835904294,0.01
0,1,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.0,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,f63e8fa0a729e81f5fc7c53d9a40056d869a40c78b0f915890d7d3ff0e82495a,136,-0.3082615456812793,0.01
0,1,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.0001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,e25aff4cdf2886a55274978bba51671fc981182121b27d4dafc03a60faef0397,136,-0.307143668433886,0.01
0,1,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,a85a239bb1ba7e9e08e48b8be4c1c2d33be9dd8889d1f35ecc255a8dd226ec8d,136,-0.2997889577301783,0.01
0,1,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.01,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,99d7987ea30550536c168e21a432f378487188c6165ce33d129e2cb08d894043,136,-0.28598758949612163,0.01
0,1,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.1,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,868e9d69c4f973c6705f52be2d380241cb55315b1ade217edb96bea2045ae088,136,-0.353275835904294,0.01
0,2,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.0,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,2ce61b585cde435ca8fcd9d6c4b8c70ffe55b55b45769ef689b3673b99886fe4,138,-0.3082615456812793,0.01
0,2,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.0001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,27dc46e47596d7d71b767192715301fee02db242425c20c3ac3cc86251e57992,138,-0.307143668433886,0.01
0,2,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,087212fe79b3754146a4b0723f4422e6653e9ce7ac2c4db78571d0db612c12ac,138,-0.2997889577301783,0.01
0,2,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.01,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,c1d1f22ea4f1807cda9d9a1fc3655d95478d8c0d9e0c81989a144b7069463e40,138,-0.28598758949612163,0.01
0,2,all_strict,side_informed,laplace,beta_half_half,50.0,input_plus_surface,0.1,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,4ab321c6a28a308c8baf552bedd8a8f067622aaccc13cda3d78c2cb1543fc5ee,138,-0.353275835904294,0.01
0,0,all_strict,side_informed,laplace,beta_half_half,50.0,HU_plus_surface,0.0,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,ea0aada38ca2e7d6ebd4c0fb45dbb38487ff9229bc6b04e6e5189c5ba8f1b5d3,139,-0.3176381965304957,0.01
0,0,all_strict,side_informed,laplace,beta_half_half,50.0,HU_plus_surface,0.0001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,2426be3e7ad3b665c3525aa1b33024934e15545607fb9392a31ac07df094ef69,139,-0.31646500965611196,0.01
